Methods,Explanation,Column
alert(),It will display an alert box with a message on the screen,
blur(),It will remove focus from the current window,
close(),It will close the current window,
confirm(),It will display a dialog box with a message on the screen,
focus(),It will set the focus to the current window,
moveTo(),It will move a window to the specified position,
open(),It will open a new browser window,
print(),It will print the content of the current window,
prompt(),It will display a dialog box that prompts the user for input,
resizeBy(),It will resize the window by the specified pixels,
resizeTo(),It will resize the window to the specified height and width,
scrollBy(),It will scroll the document by the specified number of pixels,
scrollTo(),It will scroll the document to the specified coordinates,
stop(),It will stop the window from loading,
,,
